Index,gameDuration
0,1139.347826
1,1589.173913
2,1918.304348
3,1750.695652
4,1479.043478
5,1875.913043
6,1780.173913
7,1857.608696
8,1529.434783
9,2030.347826
10,1813.130435
11,1562.130435
12,2005.956522
13,1773.782609
14,1625.565217
15,1436.73913
16,1231.608696
17,1764.26087
18,2414.391304
19,2465.826087
20,1513.913043
21,1604.26087
22,1785
23,1835.608696
24,1899.782609
25,1403.956522
26,2021.391304
27,1723.565217
28,2591.043478
29,2096.478261
30,1589.478261
31,1796.043478
32,1830.086957
33,1579.217391
34,1647.869565
35,1908
36,2071.826087
37,1119.26087
38,1872.695652
39,2484.695652
40,1848.478261
41,1428.173913
42,1162.521739
43,2186.695652
44,1575.695652
45,2014.347826
46,1734.826087
47,2230.391304
48,1802
49,1255.043478
50,1567
51,2348.608696
52,2076.956522
53,1029.695652
54,1490.26087
55,1944.173913
56,977.3478261
57,2077.782609
58,1744.695652
59,1880.608696
60,1776.478261
61,1547.434783
62,1789.695652
63,1772.347826
64,2098.521739
65,1461.173913
66,1667.043478
67,1749.652174
68,1108.086957
69,200.7826087
70,1544.173913
71,1751.826087
72,2278.304348
73,1138.086957
74,1674.826087
75,2097.347826
76,1040.565217
77,1641
78,1522.652174
79,1752.086957
80,1207.956522
81,2033.565217
82,1696
83,2504.26087
84,1344.478261
85,1485.391304
86,1443.73913
87,1845.434783
88,1332.521739
89,1458.608696
90,2356.043478
91,1457.956522
92,953.6956522
93,1742.782609
94,1313
95,930.3043478
96,1315.130435
97,1509.565217
98,1947.478261
99,2164.782609
100,2296.521739
101,1086.608696
102,2083.652174
103,1528.695652
104,2523.608696
105,1536.391304
106,1289.73913
107,1567
108,1697.869565
109,1491
110,1432.565217
111,1234.434783
112,1332.956522
113,1264.826087
114,2232.391304
115,2094.956522
116,2178.434783
117,2332.652174
118,1856.217391
119,1924.521739
120,1859.217391
121,1334.869565
122,1772.956522
123,1571.434783
124,1699.347826
125,1840.217391
126,1411.391304
127,2043.695652
128,2283.478261
129,1517.086957
130,1419
131,2045.391304
132,2445.956522
133,2500.913043
134,2322.521739
135,2206.956522
136,1412.173913
137,1636
138,1663.608696
