index,gameDuration
0,1063.3651056149863
1,1520.9261896307469
2,1840.021545352403
3,1661.7049326295853
4,1396.1768238502443
5,1791.4703868138492
6,1710.287504065305
7,1799.7110865409375
8,1471.7683055787236
9,1988.6864065076113
10,1727.8534817299694
11,1495.2822664161101
12,1952.1961463107616
13,1697.0112341041565
14,1537.7229702914954
15,1397.3054500588803
16,1184.5452857825328
17,1677.6327513316535
18,2264.1516321296695
19,2407.9102327744367
20,1430.8498763139248
21,1539.1800571191013
22,1733.5194168793857
23,1759.82318285805
24,1820.2380095557198
25,1340.455826960493
26,1890.6800163234473
27,1643.8285230635554
28,2451.086727611244
29,1924.4996880809665
30,1471.2072781226486
31,1721.1941656242013
32,1766.5062274928093
33,1512.3627604446262
34,1615.1094739804864
35,1801.2349110985995
36,1994.4969541453645
37,1079.5576808303483
38,1813.5219590957165
39,2368.115472286463
40,1792.043226874888
41,1384.971678800404
42,1113.8965606614836
43,2081.9266454703065
44,1500.083311460901
45,1935.7542028236091
46,1686.5119260284007
47,2128.6086141313317
48,1731.380459809199
49,1195.5629855170735
50,1498.2345364498794
51,2263.447115165636
52,1969.5223362254799
53,1006.5762903154716
54,1386.3501084796042
55,1890.5982048506737
56,952.43083428765
57,1948.4953845846355
58,1629.4869531518668
59,1809.6709629292488
60,1662.9039397924096
61,1475.9384714867808
62,1714.2741121738106
63,1715.5194960567057
64,2018.9049542187602
65,1389.0715323309303
66,1580.2823819401563
67,1676.885191747442
68,1059.2545664971292
69,215.4885910508632
70,1467.9979861811623
71,1698.5589737514854
72,2139.820192738891
73,1067.8663608756503
74,1578.1443215617799
75,1982.42469139722
76,981.3876775470451
77,1575.756278568402
78,1454.1361757605225
79,1674.9143266915232
80,1155.300865007728
81,1929.8017766694427
82,1607.3131710816995
83,2425.762110046566
84,1272.5909653070737
85,1421.6952411825657
86,1368.8201760998816
87,1754.651538744092
88,1300.9606559374258
89,1391.4587211618089
90,2336.475412755728
91,1396.082714495238
92,905.9968007261521
93,1683.4125242619664
94,1174.1810558433533
95,1093.8531385767162
96,1249.5625844919011
97,1440.264492661914
98,1883.5719812079221
99,2057.190663735837
100,2195.794518589497
101,1030.3484812718705
102,1984.275590143621
103,1497.6249467502237
104,2425.1659279796186
105,1455.4716348340623
106,1219.1640939740353
107,1177.7866240735054
108,1591.8070415849686
109,1503.8466030950547
110,1393.1246309517771
111,1182.4781875605584
112,1402.967661201477
113,1384.7058085198403
114,2096.6507193441394
115,1883.8347250218392
116,2097.5412728036645
117,2188.528047486663
118,1661.612821042061
119,1852.9726544688344
120,1873.9736805553437
121,1345.4959657187462
122,1492.9252181346417
123,1467.9624697039724
124,1812.6400801832676
125,1542.3216505343914
126,1370.6771553153992
127,2100.8560960884097
128,2183.8655052627328
129,1461.0245242353883
130,1378.9307415458495
131,1979.1827874274347
132,2368.306864186645
133,2379.9124292950037
134,2229.606011412561
135,2113.3480941499474
136,1357.2253888199227
137,1567.122514110513
138,1589.7645452604518
139,1841.4679107288719
140,1531.2823323770315
141,1754.0942508312762
142,2000.8499220418632
143,1224.4623105398966
144,1928.0923819518537
145,1723.0621318449155
146,951.0632651842786
147,1573.4751728055887
148,948.3600821155012
149,1765.4976164097786
150,1905.5728762834221
151,1103.9375513925804
152,1296.187028936565
153,1169.975670961652
154,1222.8192982566432
155,1278.476824753441
156,2100.860558419943
157,1752.4279559911117
158,1214.202784239769
159,1544.343618988514
160,2187.2562627787593
161,1725.4704730617702
162,1202.716936635308
163,1268.649698015757
164,1563.3482448398024
165,200.1398660456711
166,1701.147262585804
167,1033.3865230078698
168,1672.891151338339
169,1683.853163616255
170,1173.5322176752268
171,1411.5917406449914
172,1730.5088795400113
173,1786.057093018189
174,1778.7521618637145
175,2131.001844852686
176,1760.6636751922667
177,2173.432332425833
178,1259.8472247714997
179,1813.6886053713858
180,1703.6392712634877
181,1736.1464933496788
182,1589.7300049210787
183,2133.1522798980477
184,1316.5181565726996
185,875.9884002446086
186,938.1570924273581
187,1979.5127242873311
188,1136.8247696486685
189,1650.1207795535336
190,1589.1525112832785
191,921.3182202803325
192,2191.947482282285
193,1831.7416534852125
194,1985.4945953148306
195,1422.309654344095
196,1845.7064515834097
197,1472.3535099201724
198,1067.23935470857
199,1293.4609169955254
200,1611.4986912379861
201,1915.8653561207354
202,1793.375763276115
203,1876.1222857893333
204,2125.6204261476996
205,1696.3451108806655
206,1278.7455168883205
207,1845.9314209255278
208,1633.5201887343899
209,1510.2044627866596
210,1789.8617225880623
211,1517.7404517368302
212,1703.0073007061035
213,970.743692327396
214,1587.06694373627
215,1525.368976480782
216,1883.7456167559028
217,2188.7152623548063
218,1678.8965839813352
219,1533.651242726937
220,1658.3898165463359
221,1668.6165437395573
222,1485.7878722087369
223,2129.2295409659746
224,1991.0741542423964
225,1296.396035043046
226,1968.77379228127
227,904.8800878245272
228,822.5478183486155
229,1768.5221504601539
230,1855.962642170012
231,1682.750461614214
232,925.4177462619152
233,1664.8029443169833
234,1014.8372100421582
235,1510.7480594306141
236,1470.2628309293539
237,1246.6795097533502
238,2573.378570109129
239,1969.024843118608
240,1446.4190594500285
241,941.3171223378047
242,1377.5946193071902
243,1750.7053387942613
244,1226.7902961890102
245,1897.795235566318
246,2103.763482920349
247,1329.5663582938612
248,1253.3410154478513
249,1956.0943370978237
250,969.1026450400129
251,1718.537230094418
252,1722.8961703716666
253,1275.6250800783635
254,1505.3982885642797
255,1967.6135054672957
256,966.5482236761488
257,1318.4181548678205
258,900.1325840348616
259,1117.2847622339502
260,1865.4038273780495
261,1775.6914426716864
262,1693.8516112114191
263,1383.4242243333608
264,1333.7790793115162
265,1659.1599922622443
266,1000.8987384452373
267,1507.1804613764286
268,1773.8542175623477
269,1303.4250441985093
270,201.171553347521
271,1565.5108348629326
272,1412.4496833882183
273,1514.907587640442
274,1380.3714321008772
275,931.5818569189757
276,1469.9584484021068
277,1296.5100610502884
278,2261.657972171426
279,1838.6748698125482
280,1431.8721345658303
281,1752.1819730619789
282,1891.7519410769344
283,1804.3493758360744
284,1457.320275730908
285,1519.995284274675
286,1023.8101392650167
287,1309.7350716641993
288,1144.9739805762545
289,1742.842045567453
290,1403.1539432327152
291,1336.105023795262
292,1200.8852938036323
293,2016.3678457285166
294,1857.3009200091362
295,1796.541365965724
296,1427.7902895240002
297,1815.6490315268636
298,1086.5713093576376
299,1647.0958383078575
300,1976.2101001958251
301,3053.546085968137
302,1583.3843745826632
303,1447.3560466258675
304,2168.3936542528572
305,2058.30613516596
306,1915.6625662161857
307,1750.67863550362
308,1405.7198511143104
309,1662.9165215208084
310,1803.629735329643
311,1726.0480232830048
312,1458.5897093671263
313,1519.3558160955906
314,1491.3120572804362
315,1259.8804085696936
316,1558.7589452429563
317,1135.634227805527
318,1621.7445877338648
319,1306.4267807789035
320,1523.0541425500885
321,1851.5081296632886
322,1244.7241600421146
323,1563.3758029504568
324,1533.0263917022273
325,952.614912401408
326,2055.0399239170256
327,1534.2387813194543
328,2134.969314295322
329,1149.3420862541423
330,2320.507298819244
331,2102.6991199771765
332,1210.3265119236783
333,2585.8032771940234
334,1471.9903795826137
335,2218.854959085107
336,1198.9447967902995
337,2267.681273579121
338,974.6538907944812
339,1986.809916611284
340,204.18214562685807
341,1511.241249277711
342,1899.1786812241078
343,2043.8380094603524
344,1785.140868114762
345,2250.1827448191943
346,1981.0257838959694
347,1039.099988315185
348,1917.7266112337709
349,1441.5798888010793
350,1127.0318705980787
351,1582.645918869868
352,1344.0213315281906
353,1494.7521082111523
354,1494.6235702845622
355,2129.0498831546756
356,1501.9817109475732
357,1211.6473730270407
358,1454.9230202394426
359,1253.9391821580828
360,1780.8373958016634
361,1723.315654716909
362,2044.428515724361
363,1346.228259359941
364,2044.264067962289
365,1520.6298348060698
366,947.1957125700899
367,1057.796311712347
368,1389.002945261065
369,1706.5145784183294
370,1635.8463561269343
371,1660.5951645127386
372,1373.184361516487
373,1800.4907391401828
374,1779.1384603301883
375,1523.635362941295
376,1186.5886055300832
377,1399.2111368100047
378,1359.0813568751216
379,1943.9582585180067
380,1143.4219621154368
381,2133.353571682692
382,1490.655069473654
383,1918.715789228201
384,936.5998362869029
385,715.6615711148659
386,1477.4530876097158
387,2303.379639513314
388,1606.7755398447514
389,1801.7176415123865
390,1300.2070377427042
391,1690.761165018648
392,1333.0610680773277
393,192.99758024657402
394,1853.1326162065268
395,1289.9214232535921
396,1517.3349576531798
397,912.2033703107043
398,929.4879980571457
399,1134.3467919657594
400,1017.7991712200344
401,1280.0773171274811
402,1508.3248706604243
403,1500.9725833400041
404,1888.903845190525
405,1728.8305548350215
406,2094.2039128555807
